Field,RA,DEC,ZP_u,ZP_J0378,ZP_J0395,ZP_J0410,ZP_J0430,ZP_g,ZP_J0515,ZP_r,ZP_J0660,ZP_i,ZP_J0861,ZP_z,u_FWHM,J0378_FWHM,J0395_FWHM,J0410_FWHM,J0430_FWHM,g_FWHM,J0515_FWHM,r_FWHM,J0660_FWHM,i_FWHM,J0861_FWHM,z_FWHM,u_MJD,J0378_MJD,J0395_MJD,J0410_MJD,J0430_MJD,g_MJD,J0515_MJD,r_MJD,J0660_MJD,i_MJD,J0861_MJD,z_MJD
HYDRA-0035,157.9,-26.69,20.126,19.327,19.358,20.406,20.551,22.835,20.742,22.745,20.241,22.498,20.763,21.887,1.435,1.431,1.484,1.341,1.308,1.311,1.215,1.263,1.23,1.185,1.161,1.238,57800.0,57800.0,57800.0,57800.0,57800.0,57800.0,57800.0,57800.0,57800.0,57800.0,57800.0,57800.0
HYDRA-0036,159.48,-26.69,20.008,19.189,19.203,20.226,20.357,22.746,20.588,22.721,20.195,22.5,20.747,21.895,1.43,1.515,1.535,1.486,1.508,1.19,1.36,1.185,1.559,1.1,1.276,1.134,57801.0,57801.0,57801.0,57801.0,57801.0,57801.0,57801.0,57801.0,57801.0,57801.0,57801.0,57801.0
HYDRA-0037,161.05,-26.69,20.085,19.318,19.341,20.392,20.552,22.835,20.747,22.743,20.241,22.501,20.765,21.895,1.406,1.435,1.683,1.625,1.546,1.329,1.408,1.244,1.297,1.192,1.137,1.197,57800.0,57800.0,57800.0,57800.0,57800.0,57800.0,57800.0,57800.0,57800.0,57800.0,57800.0,57800.0
HYDRA-0038,162.63,-26.69,20.909,20.091,20.069,21.156,21.311,23.622,21.549,23.562,21.07,23.342,21.595,22.789,1.682,1.761,1.789,1.85,1.896,1.917,1.83,1.781,1.529,1.913,1.607,1.917,58195.0,58195.0,58195.0,58195.0,58195.0,58195.0,58195.0,58195.0,58195.0,58195.0,58195.0,58195.0
HYDRA-0039,164.21,-26.69,20.099,19.326,19.368,20.422,20.582,22.858,20.761,22.76,20.253,22.512,20.778,21.926,1.844,1.834,1.646,1.563,1.416,1.511,1.327,1.64,1.291,1.405,1.071,1.269,57791.0,57791.0,57791.0,57791.0,57791.0,57791.0,57791.0,57791.0,57791.0,57791.0,57791.0,57791.0
HYDRA-0040,151.33,-28.08,20.901,20.096,20.087,21.172,21.319,23.635,21.57,23.553,21.062,23.342,21.583,22.771,1.715,1.57,1.567,1.542,1.46,1.448,1.403,1.388,1.248,1.243,1.138,1.198,58196.0,58196.0,58196.0,58196.0,58196.0,58196.0,58196.0,58196.0,58196.0,58196.0,58196.0,58196.0
HYDRA-0041,152.92,-28.08,20.171,19.392,19.384,20.451,20.601,22.875,20.777,22.753,20.245,22.51,20.768,21.914,1.448,1.592,1.556,1.505,1.425,1.34,1.402,1.272,1.597,1.289,1.413,1.194,57791.0,57791.0,57791.0,57791.0,57791.0,57791.0,57791.0,57791.0,57791.0,57791.0,57791.0,57791.0
HYDRA-0042,154.51,-28.08,20.849,20.01,20.0,21.054,21.201,23.54,21.472,23.493,21.003,23.278,21.551,22.711,1.522,1.487,1.549,1.556,1.685,1.93,1.714,1.68,1.622,1.668,1.623,1.424,58230.0,58230.0,58230.0,58230.0,58230.0,58230.0,58230.0,58230.0,58230.0,58230.0,58230.0,58230.0
HYDRA-0043,156.1,-28.08,20.962,20.14,20.134,21.188,21.336,23.643,21.571,23.576,21.082,23.347,21.604,22.784,1.866,1.692,1.609,1.625,1.611,1.465,1.567,1.55,1.675,1.305,1.473,1.28,58195.0,58195.0,58195.0,58195.0,58195.0,58195.0,58195.0,58195.0,58195.0,58195.0,58195.0,58195.0
HYDRA-0044,157.7,-28.08,20.07,19.325,19.353,20.398,20.535,22.803,20.741,22.747,20.273,22.512,20.789,21.905,1.46,1.328,1.3,1.318,1.293,1.294,1.298,1.246,1.675,1.17,1.213,1.114,57801.0,57801.0,57801.0,57801.0,57801.0,57801.0,57801.0,57801.0,57801.0,57801.0,57801.0,57801.0
HYDRA-0045,159.29,-28.08,20.217,19.421,19.427,20.457,20.591,22.897,20.777,22.791,20.28,22.542,20.79,21.938,1.578,1.337,1.272,1.218,1.226,1.288,1.195,1.23,1.177,1.152,1.133,1.135,57803.0,57803.0,57803.0,57803.0,57803.0,57803.0,57803.0,57803.0,57803.0,57803.0,57803.0,57803.0
HYDRA-0046,160.88,-28.08,20.852,20.038,20.039,21.019,21.105,23.455,21.391,23.501,21.031,23.307,21.583,22.729,3.106,1.987,1.978,2.158,1.6,1.761,1.613,1.643,1.564,1.363,1.3,1.285,58518.0,58518.0,58518.0,58518.0,58518.0,58518.0,58518.0,58518.0,58518.0,58518.0,58518.0,58518.0
HYDRA-0047,162.48,-28.08,20.97,20.172,20.178,21.2,21.328,23.649,21.558,23.601,21.1,23.377,21.628,22.79,1.212,1.26,1.261,1.391,1.312,1.319,1.237,1.309,1.269,1.217,1.189,1.158,58137.0,58137.0,58137.0,58137.0,58137.0,58137.0,58137.0,58137.0,58137.0,58137.0,58137.0,58137.0
HYDRA-0048,164.07,-28.08,20.104,19.304,19.348,20.415,20.581,22.87,20.76,22.76,20.25,22.519,20.779,21.937,1.474,1.359,1.37,1.275,1.302,1.389,1.255,1.334,1.322,1.124,1.151,1.085,57792.0,57792.0,57792.0,57792.0,57792.0,57792.0,57792.0,57792.0,57792.0,57792.0,57792.0,57792.0
HYDRA-0049,150.13,-29.46,20.9,20.119,20.143,21.172,21.305,23.647,21.561,23.596,21.099,23.364,21.624,22.775,1.474,1.357,1.276,1.266,1.237,1.284,1.223,1.373,1.274,1.227,1.159,1.256,58137.0,58137.0,58137.0,58137.0,58137.0,58137.0,58137.0,58137.0,58137.0,58137.0,58137.0,58137.0
HYDRA-0050,151.75,-29.46,20.077,19.288,19.346,20.404,20.567,22.833,20.746,22.729,20.23,22.458,20.752,21.826,1.327,1.227,1.146,1.167,1.173,1.211,1.097,1.246,1.141,1.126,1.236,1.088,57773.0,57773.0,57773.0,57773.0,57773.0,57773.0,57773.0,57773.0,57773.0,57773.0,57773.0,57773.0
HYDRA-0051,153.36,-29.46,20.924,20.078,20.063,21.112,21.255,23.567,21.505,23.515,20.968,23.29,21.55,22.726,1.474,1.4,1.354,1.326,1.39,1.546,1.331,1.491,1.266,1.376,1.142,1.313,58232.0,58232.0,58232.0,58232.0,58232.0,58232.0,58232.0,58232.0,58232.0,58232.0,58232.0,58232.0
HYDRA-0052,154.98,-29.46,20.148,19.356,19.388,20.458,20.615,22.885,20.785,22.767,20.263,22.521,20.786,21.932,1.336,1.542,1.533,1.681,1.586,1.294,1.522,1.323,1.658,1.269,1.326,1.15,57790.0,57790.0,57790.0,57790.0,57790.0,57790.0,57790.0,57790.0,57790.0,57790.0,57790.0,57790.0
HYDRA-0053,156.59,-29.46,20.28,19.486,19.494,20.533,20.664,22.933,20.831,22.813,20.297,22.565,20.808,21.979,1.287,1.32,1.299,1.372,1.334,1.193,1.637,1.263,1.417,1.159,1.198,1.139,57850.0,57850.0,57850.0,57850.0,57850.0,57850.0,57850.0,57850.0,57850.0,57850.0,57850.0,57850.0
HYDRA-0054,158.21,-29.46,20.952,20.165,20.19,21.214,21.353,23.666,21.589,23.588,21.093,23.352,21.611,22.765,1.682,1.639,1.662,1.503,1.478,1.414,1.419,1.42,1.361,1.235,1.143,1.124,58113.0,58113.0,58113.0,58113.0,58113.0,58113.0,58113.0,58113.0,58113.0,58113.0,58113.0,58113.0
HYDRA-0055,159.82,-29.46,20.254,19.48,19.46,20.527,20.648,22.919,20.81,22.759,20.296,22.548,20.791,21.94,1.534,1.92,1.654,1.419,1.357,1.337,1.275,1.307,1.355,1.256,1.185,1.299,57771.0,57771.0,57771.0,57803.0,57803.0,57803.0,57803.0,57803.0,57771.0,57803.0,57803.0,57803.0
HYDRA-0056,161.43,-29.46,20.157,19.371,19.425,20.488,20.657,22.906,20.806,22.774,20.265,22.527,20.788,21.946,1.429,1.357,1.339,1.306,1.338,1.244,1.287,1.192,1.303,1.169,1.15,1.135,57784.0,57784.0,57784.0,57784.0,57784.0,57784.0,57784.0,57784.0,57784.0,57784.0,57784.0,57784.0
HYDRA-0057,163.05,-29.46,20.979,20.157,20.144,21.189,21.331,23.632,21.553,23.553,21.076,23.334,21.601,22.768,1.276,1.243,1.281,1.333,1.311,1.455,1.37,1.606,1.523,1.556,1.2,1.41,58196.0,58196.0,58196.0,58196.0,58196.0,58196.0,58196.0,58196.0,58196.0,58196.0,58196.0,58196.0
HYDRA-0058,164.66,-29.46,20.983,20.17,20.152,21.194,21.336,23.663,21.571,23.571,21.095,23.342,21.615,22.78,1.37,1.394,1.336,1.347,1.312,1.366,1.258,1.326,1.348,1.324,1.068,1.184,58134.0,58134.0,58146.0,58146.0,58146.0,58146.0,58146.0,58146.0,58146.0,58146.0,58146.0,58146.0
HYDRA-0059,150.55,-30.85,20.851,20.089,20.084,21.103,21.238,23.572,21.501,23.569,21.092,23.357,21.611,22.798,1.646,1.538,1.592,1.575,1.725,1.726,1.639,1.535,1.451,1.555,1.469,1.589,58466.0,58466.0,58466.0,58466.0,58466.0,58466.0,58466.0,58466.0,58466.0,58466.0,58466.0,58466.0
HYDRA-0060,152.18,-30.85,20.969,20.194,20.204,21.212,21.348,23.67,21.593,23.601,21.1,23.359,21.629,22.758,1.358,1.26,1.198,1.193,1.188,1.152,1.167,1.36,1.24,1.146,0.997,1.139,58125.0,58125.0,58125.0,58125.0,58125.0,58125.0,58125.0,58125.0,58125.0,58125.0,58125.0,58125.0
HYDRA-0061,153.82,-30.85,20.051,19.27,19.289,20.414,20.569,22.843,20.764,22.754,20.25,22.512,20.776,21.924,1.368,1.396,1.203,1.418,1.147,1.309,1.19,1.263,1.272,1.218,1.208,1.224,57789.0,57789.0,57789.0,57789.0,57789.0,57789.0,57789.0,57789.0,57789.0,57789.0,57789.0,57789.0
HYDRA-0062,155.45,-30.85,20.808,19.484,19.488,20.53,20.658,22.92,20.815,22.806,20.306,23.336,20.806,22.761,2.008,1.37,1.417,1.373,1.311,1.318,1.309,1.355,1.469,1.42,1.118,1.179,58483.0,57849.0,57849.0,57849.0,57849.0,57849.0,57849.0,57849.0,57849.0,58483.0,57849.0,58483.0
HYDRA-0063,157.09,-30.85,20.881,20.05,20.027,21.132,21.277,23.587,21.532,23.536,21.039,23.335,21.602,22.752,1.901,1.663,1.485,1.552,1.523,1.607,1.563,1.595,1.726,1.312,1.236,1.157,58153.0,58153.0,58153.0,58153.0,58153.0,58153.0,58153.0,58153.0,58153.0,58153.0,58153.0,58153.0
HYDRA-0064,158.73,-30.85,20.041,19.241,19.285,20.369,20.471,22.783,20.682,22.717,20.211,22.472,20.742,21.874,1.444,1.556,1.763,1.668,1.572,1.391,1.467,1.35,1.745,1.298,1.706,1.35,57782.0,57782.0,57782.0,57782.0,57782.0,57782.0,57782.0,57782.0,57782.0,57782.0,57782.0,57782.0
HYDRA-0065,160.36,-30.85,20.721,19.887,20.014,21.029,21.163,23.506,21.453,23.487,20.998,23.27,21.542,22.666,2.158,2.877,1.769,1.86,1.7,1.85,2.128,1.978,2.082,1.972,1.514,1.663,58225.0,58225.0,58225.0,58225.0,58225.0,58225.0,58225.0,58225.0,58225.0,58225.0,58225.0,58225.0
HYDRA-0066,162.0,-30.85,20.841,20.011,20.019,21.072,21.215,23.563,21.485,23.51,21.02,23.304,21.566,22.719,1.469,1.523,1.297,1.329,1.379,1.373,1.399,1.269,1.353,1.779,1.359,1.553,58229.0,58229.0,58229.0,58229.0,58229.0,58229.0,58229.0,58229.0,58229.0,58229.0,58229.0,58229.0
HYDRA-0067,163.64,-30.85,20.979,20.167,20.162,21.176,21.299,23.638,21.543,23.595,21.091,23.358,21.624,22.787,1.641,1.68,1.944,1.774,1.726,1.526,1.573,1.585,1.531,1.336,1.257,1.342,58135.0,58135.0,58140.0,58140.0,58140.0,58140.0,58140.0,58140.0,58140.0,58140.0,58140.0,58140.0
HYDRA-0068,150.97,-32.23,20.823,20.057,20.055,21.089,21.209,23.557,21.485,23.556,21.08,23.34,21.619,22.774,1.398,1.341,1.321,1.463,1.357,1.694,1.357,1.551,1.534,1.359,1.846,1.418,58471.0,58471.0,58471.0,58471.0,58471.0,58471.0,58471.0,58471.0,58471.0,58471.0,58471.0,58471.0
