Field,RA,DEC,u_MJD,J0378_MJD,J0395_MJD,J0410_MJD,J0430_MJD,g_MJD,J0515_MJD,r_MJD,J0660_MJD,i_MJD,J0861_MJD,z_MJD
HYDRA-0045,159.29,-28.08,57803.0,57803.0,57803.0,57803.0,57803.0,57803.0,57803.0,57803.0,57803.0,57803.0,57803.0,57803.0
HYDRA-0046,160.88,-28.08,58518.0,58518.0,58518.0,58518.0,58518.0,58518.0,58518.0,58518.0,58518.0,58518.0,58518.0,58518.0
HYDRA-0047,162.48,-28.08,58137.0,58137.0,58137.0,58137.0,58137.0,58137.0,58137.0,58137.0,58137.0,58137.0,58137.0,58137.0
HYDRA-0048,164.07,-28.08,57792.0,57792.0,57792.0,57792.0,57792.0,57792.0,57792.0,57792.0,57792.0,57792.0,57792.0,57792.0
HYDRA-0049,150.13,-29.46,58137.0,58137.0,58137.0,58137.0,58137.0,58137.0,58137.0,58137.0,58137.0,58137.0,58137.0,58137.0
HYDRA-0050,151.75,-29.46,57773.0,57773.0,57773.0,57773.0,57773.0,57773.0,57773.0,57773.0,57773.0,57773.0,57773.0,57773.0
HYDRA-0051,153.36,-29.46,58232.0,58232.0,58232.0,58232.0,58232.0,58232.0,58232.0,58232.0,58232.0,58232.0,58232.0,58232.0
HYDRA-0052,154.98,-29.46,57790.0,57790.0,57790.0,57790.0,57790.0,57790.0,57790.0,57790.0,57790.0,57790.0,57790.0,57790.0
HYDRA-0053,156.59,-29.46,57850.0,57850.0,57850.0,57850.0,57850.0,57850.0,57850.0,57850.0,57850.0,57850.0,57850.0,57850.0
HYDRA-0054,158.21,-29.46,58113.0,58113.0,58113.0,58113.0,58113.0,58113.0,58113.0,58113.0,58113.0,58113.0,58113.0,58113.0
HYDRA-0055,159.82,-29.46,57771.0,57771.0,57771.0,57803.0,57803.0,57803.0,57803.0,57803.0,57771.0,57803.0,57803.0,57803.0
HYDRA-0056,161.43,-29.46,57784.0,57784.0,57784.0,57784.0,57784.0,57784.0,57784.0,57784.0,57784.0,57784.0,57784.0,57784.0
HYDRA-0057,163.05,-29.46,58196.0,58196.0,58196.0,58196.0,58196.0,58196.0,58196.0,58196.0,58196.0,58196.0,58196.0,58196.0
HYDRA-0058,164.66,-29.46,58134.0,58134.0,58146.0,58146.0,58146.0,58146.0,58146.0,58146.0,58146.0,58146.0,58146.0,58146.0
HYDRA-0059,150.55,-30.85,58466.0,58466.0,58466.0,58466.0,58466.0,58466.0,58466.0,58466.0,58466.0,58466.0,58466.0,58466.0
HYDRA-0060,152.18,-30.85,58125.0,58125.0,58125.0,58125.0,58125.0,58125.0,58125.0,58125.0,58125.0,58125.0,58125.0,58125.0
HYDRA-0061,153.82,-30.85,57789.0,57789.0,57789.0,57789.0,57789.0,57789.0,57789.0,57789.0,57789.0,57789.0,57789.0,57789.0
HYDRA-0062,155.45,-30.85,58483.0,57849.0,57849.0,57849.0,57849.0,57849.0,57849.0,57849.0,57849.0,58483.0,57849.0,58483.0
HYDRA-0063,157.09,-30.85,58153.0,58153.0,58153.0,58153.0,58153.0,58153.0,58153.0,58153.0,58153.0,58153.0,58153.0,58153.0
HYDRA-0064,158.73,-30.85,57782.0,57782.0,57782.0,57782.0,57782.0,57782.0,57782.0,57782.0,57782.0,57782.0,57782.0,57782.0
HYDRA-0065,160.36,-30.85,58225.0,58225.0,58225.0,58225.0,58225.0,58225.0,58225.0,58225.0,58225.0,58225.0,58225.0,58225.0
HYDRA-0066,162.0,-30.85,58229.0,58229.0,58229.0,58229.0,58229.0,58229.0,58229.0,58229.0,58229.0,58229.0,58229.0,58229.0
HYDRA-0067,163.64,-30.85,58135.0,58135.0,58140.0,58140.0,58140.0,58140.0,58140.0,58140.0,58140.0,58140.0,58140.0,58140.0
HYDRA-0068,150.97,-32.23,58471.0,58471.0,58471.0,58471.0,58471.0,58471.0,58471.0,58471.0,58471.0,58471.0,58471.0,58471.0
