Field,RA,DEC,u_MJD,J0378_MJD,J0395_MJD,J0410_MJD,J0430_MJD,g_MJD,J0515_MJD,r_MJD,J0660_MJD,i_MJD,J0861_MJD,z_MJD
SPLUS-d249,103.09,-30.85,58132.0,58132.0,58132.0,58132.0,58132.0,58132.0,58132.0,58132.0,58132.0,58132.0,58132.0,58132.0
SPLUS-d250,104.73,-30.85,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0
SPLUS-d251,106.36,-30.85,58501.0,58501.0,58501.0,58501.0,58501.0,58501.0,58501.0,58501.0,58501.0,58501.0,58501.0,58501.0
SPLUS-d252,108.0,-30.85,59183.0,59183.0,59183.0,59183.0,59183.0,59183.0,59183.0,59183.0,59183.0,59183.0,59183.0,59183.0
SPLUS-d253,109.64,-30.85,58134.0,58134.0,58134.0,58134.0,58134.0,58134.0,58134.0,58134.0,58134.0,58134.0,58134.0,58134.0
SPLUS-d254,111.27,-30.85,58135.0,58135.0,58135.0,58135.0,58135.0,58135.0,58135.0,58135.0,58135.0,58135.0,58135.0,58135.0
SPLUS-d255,112.91,-30.85,58144.0,58144.0,58144.0,58144.0,58144.0,58144.0,58144.0,58144.0,58144.0,58144.0,58144.0,58144.0
SPLUS-d256,114.55,-30.85,58564.0,58564.0,58564.0,58564.0,58564.0,58564.0,58564.0,58564.0,58564.0,58564.0,58564.0,58564.0
SPLUS-d257,116.18,-30.85,58891.0,58891.0,58891.0,58891.0,58891.0,58891.0,58891.0,58891.0,58891.0,58891.0,58891.0,58891.0
SPLUS-d258,117.82,-30.85,59212.0,59212.0,59212.0,59212.0,59212.0,59212.0,59212.0,59212.0,59212.0,59212.0,59212.0,59212.0
SPLUS-d259,119.45,-30.85,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0
SPLUS-d260,121.09,-30.85,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0
SPLUS-d261,122.73,-30.85,58115.0,58115.0,58115.0,58115.0,58115.0,58115.0,58115.0,58115.0,58115.0,58115.0,58115.0,58115.0
SPLUS-d262,124.36,-30.85,58862.0,58862.0,58862.0,58862.0,58862.0,58862.0,58862.0,58862.0,58862.0,58862.0,58862.0,58862.0
SPLUS-d263,126.0,-30.85,58200.0,58200.0,58200.0,58200.0,58200.0,58200.0,58200.0,58200.0,58200.0,58200.0,58200.0,58200.0
SPLUS-d264,127.64,-30.85,58202.0,58202.0,58202.0,58202.0,58202.0,58202.0,58202.0,58202.0,58202.0,58202.0,58202.0,58202.0
SPLUS-d266,104.52,-32.23,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0
SPLUS-d267,106.18,-32.23,58886.0,58886.0,58886.0,58886.0,58886.0,58886.0,58886.0,58886.0,58886.0,58886.0,58886.0,58886.0
SPLUS-d270,111.15,-32.23,58533.0,58533.0,58533.0,58533.0,58533.0,58533.0,58533.0,58533.0,58533.0,58533.0,58533.0,58533.0
SPLUS-d271,112.81,-32.23,58563.0,58563.0,58563.0,58563.0,58563.0,58563.0,58563.0,58563.0,58563.0,58563.0,58563.0,58563.0
SPLUS-d273,116.13,-32.23,58918.0,58918.0,58918.0,58918.0,58918.0,58918.0,58918.0,58918.0,58918.0,58918.0,58918.0,58918.0
SPLUS-d274,117.79,-32.23,58917.0,58917.0,58917.0,58917.0,58917.0,58917.0,58917.0,58917.0,58917.0,58917.0,58917.0,58917.0
SPLUS-d276,121.1,-32.23,59204.0,59204.0,59204.0,59204.0,59204.0,59204.0,59204.0,59204.0,59204.0,59204.0,59204.0,59204.0
SPLUS-d278,124.43,-32.23,58886.0,58886.0,58886.0,58886.0,58886.0,58886.0,58886.0,58886.0,58886.0,58886.0,58886.0,58886.0
SPLUS-d279,126.08,-32.23,58561.0,58561.0,58561.0,58561.0,58561.0,58561.0,58561.0,58561.0,58561.0,58561.0,58561.0,58561.0
SPLUS-d280,127.74,-32.23,58203.0,58203.0,58203.0,58203.0,58203.0,58203.0,58203.0,58203.0,58203.0,58203.0,58203.0,58203.0
SPLUS-d282,104.79,-33.61,58803.0,58803.0,58803.0,58803.0,58803.0,58803.0,58803.0,58803.0,58803.0,58803.0,58803.0,58803.0
SPLUS-d283,106.48,-33.61,58803.0,58803.0,58803.0,58803.0,58803.0,58803.0,58803.0,58803.0,58803.0,58803.0,58803.0,58803.0
SPLUS-d288,114.93,-33.61,58920.0,58920.0,58920.0,58920.0,58920.0,58920.0,58920.0,58920.0,58920.0,58920.0,58920.0,58920.0
SPLUS-d294,125.07,-33.61,58864.0,58864.0,58864.0,58864.0,58864.0,58864.0,58864.0,58864.0,58864.0,58864.0,58864.0,58864.0
SPLUS-d295,126.76,-33.61,58863.0,58863.0,58863.0,58863.0,58863.0,58863.0,58863.0,58863.0,58863.0,58863.0,58863.0,58863.0
SPLUS-d297,104.57,-34.99,58801.0,58801.0,58801.0,58801.0,58801.0,58801.0,58801.0,58801.0,58801.0,58801.0,58801.0,58801.0
SPLUS-d298,106.29,-34.99,59212.0,59212.0,59212.0,59212.0,59212.0,59212.0,59212.0,59212.0,59212.0,59212.0,59216.0,59212.0
SPLUS-d304,116.57,-34.99,59188.0,59188.0,59188.0,59188.0,59188.0,59188.0,59188.0,59188.0,59188.0,59188.0,59188.0,59188.0
SPLUS-d306,120.0,-34.99,58920.0,58920.0,58920.0,58920.0,58920.0,58920.0,58920.0,58920.0,58920.0,58920.0,58920.0,58920.0
SPLUS-d308,123.43,-34.99,59215.0,59215.0,59215.0,59215.0,59215.0,59215.0,59215.0,59215.0,59215.0,59215.0,59215.0,59215.0
SPLUS-d309,125.14,-34.99,58887.0,58887.0,58887.0,58887.0,58887.0,58887.0,58887.0,58887.0,58887.0,58887.0,58887.0,58887.0
SPLUS-d310,126.86,-34.99,58564.0,58564.0,58564.0,58564.0,58564.0,58564.0,58564.0,58564.0,58564.0,58564.0,58564.0,58564.0
SPLUS-d313,104.35,-36.36,58464.0,58464.0,58464.0,58464.0,58464.0,58464.0,58464.0,58464.0,58464.0,58464.0,58464.0,58464.0
SPLUS-d321,118.26,-36.36,58916.0,58916.0,58916.0,58916.0,58916.0,58916.0,58916.0,58916.0,58916.0,58916.0,58916.0,58916.0
SPLUS-d324,123.48,-36.36,59209.0,59209.0,59209.0,59209.0,59209.0,59209.0,59209.0,59209.0,59209.0,59209.0,59209.0,59209.0
SPLUS-d325,125.22,-36.36,59216.0,59216.0,59216.0,59216.0,59216.0,59216.0,59216.0,59216.0,59216.0,59216.0,59216.0,59216.0
SPLUS-d326,126.96,-36.36,58588.0,58588.0,58588.0,58588.0,58588.0,58588.0,58588.0,58588.0,58588.0,58588.0,58588.0,58588.0
SPLUS-d328,130.43,-36.36,58216.0,58216.0,58216.0,58216.0,58216.0,58216.0,58216.0,58216.0,58216.0,58216.0,58216.0,58216.0
SPLUS-d329,132.18,-36.36,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0
SPLUS-d330,104.63,-37.74,58475.0,58475.0,58475.0,58475.0,58475.0,58475.0,58475.0,58475.0,58475.0,58475.0,58475.0,58475.0
SPLUS-d331,106.4,-37.74,59213.0,59213.0,59213.0,59213.0,59213.0,59213.0,59213.0,59213.0,59213.0,59213.0,59213.0,59213.0
SPLUS-d336,115.27,-37.74,59215.0,59215.0,59215.0,59215.0,59215.0,59215.0,59215.0,59215.0,59215.0,59215.0,59215.0,59215.0
SPLUS-d343,127.68,-37.74,58888.0,58888.0,58888.0,58888.0,58888.0,58888.0,58888.0,58888.0,58888.0,58888.0,58888.0,58888.0
SPLUS-d344,129.46,-37.74,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0
SPLUS-d345,131.23,-37.74,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0
SPLUS-d346,133.0,-37.74,58501.0,58501.0,58501.0,58501.0,58501.0,58501.0,58501.0,58501.0,58501.0,58501.0,58501.0,58501.0
SPLUS-d347,106.73,-39.11,59214.0,59214.0,59214.0,59214.0,59214.0,59214.0,59214.0,59214.0,59214.0,59214.0,59214.0,59214.0
SPLUS-d356,123.02,-39.11,58915.0,58915.0,58915.0,58915.0,58915.0,58915.0,58915.0,58915.0,58915.0,58915.0,58915.0,58915.0
SPLUS-d358,126.63,-39.11,58890.0,58890.0,58890.0,58890.0,58890.0,58890.0,58890.0,58890.0,58890.0,58890.0,58890.0,58890.0
SPLUS-d360,130.25,-39.11,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0
SPLUS-d361,132.06,-39.11,58506.0,58506.0,58506.0,58506.0,58506.0,58506.0,58506.0,58506.0,58506.0,58506.0,58506.0,58506.0
SPLUS-d362,133.87,-39.11,58228.0,58228.0,58214.0,58214.0,58214.0,58228.0,58214.0,58228.0,58214.0,58228.0,58214.0,58228.0
SPLUS-d375,129.23,-40.48,58590.0,58590.0,58590.0,58590.0,58590.0,58590.0,58590.0,58590.0,58590.0,58590.0,58590.0,58590.0
SPLUS-d376,131.08,-40.48,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0
SPLUS-d377,132.93,-40.48,58562.0,58562.0,58562.0,58562.0,58562.0,58562.0,58562.0,58562.0,58562.0,58562.0,58562.0,58562.0
SPLUS-d386,120.63,-41.84,58887.0,58887.0,58887.0,58887.0,58887.0,58887.0,58887.0,58887.0,58887.0,58887.0,58887.0,58887.0
SPLUS-d390,128.17,-41.84,58889.0,58889.0,58889.0,58889.0,58889.0,58889.0,58889.0,58889.0,58889.0,58889.0,58889.0,58889.0
SPLUS-d391,130.05,-41.84,58886.0,58886.0,58886.0,58886.0,58886.0,58886.0,58886.0,58886.0,58886.0,58886.0,58886.0,58886.0
SPLUS-d392,131.94,-41.84,58566.0,58566.0,58566.0,58566.0,58566.0,58566.0,58566.0,58566.0,58566.0,58566.0,58566.0,58566.0
SPLUS-d393,133.82,-41.84,58198.0,58198.0,58198.0,58198.0,58198.0,58198.0,58198.0,58198.0,58198.0,58198.0,58198.0,58198.0
SPLUS-d406,130.91,-43.21,58891.0,58891.0,58891.0,58891.0,58891.0,58891.0,58891.0,58891.0,58891.0,58891.0,58891.0,58891.0
SPLUS-d407,132.83,-43.21,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0
SPLUS-d420,131.8,-44.57,58591.0,58591.0,58591.0,58591.0,58591.0,58591.0,58591.0,58591.0,58591.0,58591.0,58591.0,58591.0
SPLUS-d421,133.77,-44.57,58561.0,58561.0,58561.0,58561.0,58561.0,58561.0,58561.0,58561.0,58561.0,58561.0,58561.0,58561.0
SPLUS-d433,132.74,-45.93,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0
SPLUS-d434,134.75,-45.93,58596.0,58596.0,58596.0,58596.0,58596.0,58596.0,58596.0,58596.0,58596.0,58596.0,58596.0,58596.0
SPLUS-d435,111.09,-47.28,58494.0,58494.0,58494.0,58494.0,58494.0,58494.0,58494.0,58494.0,58494.0,58494.0,58494.0,58494.0
SPLUS-d443,127.54,-47.28,58918.0,58918.0,58918.0,58918.0,58918.0,58918.0,58918.0,58918.0,58918.0,58918.0,58918.0,58918.0
SPLUS-d445,131.66,-47.28,58590.0,58590.0,58590.0,58590.0,58590.0,58590.0,58590.0,58590.0,58590.0,58590.0,58590.0,58590.0
SPLUS-d446,133.71,-47.28,58533.0,58533.0,58533.0,58533.0,58533.0,58533.0,58533.0,58533.0,58533.0,58533.0,58533.0,58533.0
SPLUS-d452,122.83,-48.63,58889.0,58889.0,58889.0,58889.0,58889.0,58889.0,58889.0,58889.0,58889.0,58889.0,58889.0,58889.0
SPLUS-d455,129.18,-48.63,58919.0,58919.0,58919.0,58919.0,58919.0,58919.0,58919.0,58919.0,58919.0,58919.0,58919.0,58919.0
SPLUS-d456,131.3,-48.63,58594.0,58594.0,58594.0,58594.0,58594.0,58594.0,58594.0,58594.0,58594.0,58594.0,58594.0,58594.0
SPLUS-d457,133.41,-48.63,58563.0,58563.0,58563.0,58563.0,58563.0,58563.0,58563.0,58563.0,58563.0,58563.0,58563.0,58563.0
SPLUS-d466,130.12,-49.98,58888.0,58888.0,58888.0,58888.0,58888.0,58888.0,58888.0,58888.0,58888.0,58888.0,58888.0,58888.0
SPLUS-d467,132.29,-49.98,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0
SPLUS-d468,134.46,-49.98,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0
SPLUS-d477,131.93,-51.33,58595.0,58595.0,58595.0,58595.0,58595.0,58595.0,58595.0,58595.0,58595.0,58595.0,58595.0,58595.0
SPLUS-d478,134.16,-51.33,58564.0,58564.0,58564.0,58564.0,58564.0,58564.0,58564.0,58564.0,58564.0,58564.0,58564.0,58564.0
SPLUS-d487,132.99,-52.67,58589.0,58589.0,58589.0,58589.0,58589.0,58589.0,58589.0,58589.0,58589.0,58589.0,58589.0,58589.0
SPLUS-d504,134.7,-55.35,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0
SPLUS-d510,131.83,-56.68,58595.0,58595.0,58595.0,58595.0,58595.0,58595.0,58595.0,58595.0,58595.0,58595.0,58595.0,58595.0
SPLUS-d511,134.37,-56.68,58566.0,58566.0,58566.0,58566.0,58566.0,58566.0,58566.0,58566.0,58566.0,58566.0,58566.0,58566.0
SPLUS-d517,134.02,-58.01,58591.0,58591.0,58591.0,58591.0,58591.0,58591.0,58591.0,58591.0,58591.0,58591.0,58591.0,58591.0
SPLUS-d522,132.63,-59.33,58594.0,58594.0,58594.0,58594.0,58594.0,58594.0,58594.0,58594.0,58594.0,58594.0,58594.0,58594.0
SPLUS-n01s01,150.79,0.0,58242.0,58242.0,58242.0,58242.0,58242.0,58242.0,58242.0,58242.0,58242.0,58242.0,58242.0,58242.0
SPLUS-n01s18,173.89,0.0,58557.0,58557.0,58557.0,58557.0,58557.0,58557.0,58557.0,58557.0,58557.0,58557.0,58557.0,58557.0
SPLUS-n01s19,175.25,0.0,58569.0,58569.0,58569.0,58569.0,58569.0,58569.0,58569.0,58569.0,58569.0,58569.0,58569.0,58569.0
SPLUS-n01s20,176.6,0.0,58576.0,58576.0,58576.0,58576.0,58576.0,58576.0,58576.0,58576.0,58576.0,58576.0,58576.0,58576.0
SPLUS-n01s21,177.96,0.0,58582.0,58582.0,58582.0,58582.0,58582.0,58582.0,58582.0,58582.0,58582.0,58582.0,58582.0,58582.0
SPLUS-n01s22,179.32,0.0,58574.0,58574.0,58574.0,58574.0,58574.0,58574.0,58574.0,58574.0,58574.0,58574.0,58574.0,58574.0
SPLUS-n01s23,180.68,0.0,58576.0,58576.0,58576.0,58576.0,58576.0,58576.0,58576.0,58576.0,58576.0,58576.0,58576.0,58576.0
SPLUS-n01s24,182.04,0.0,58574.0,58574.0,58574.0,58574.0,58574.0,58574.0,58574.0,58574.0,58574.0,58574.0,58574.0,58574.0
SPLUS-n01s25,183.4,0.0,58575.0,58575.0,58575.0,58575.0,58575.0,58575.0,58575.0,58575.0,58575.0,58575.0,58575.0,58575.0
SPLUS-n01s26,184.75,0.0,58555.0,58555.0,58555.0,58555.0,58555.0,58555.0,58555.0,58555.0,58555.0,58555.0,58555.0,58555.0
SPLUS-n01s27,186.11,0.0,58551.0,58551.0,58551.0,58551.0,58551.0,58551.0,58551.0,58551.0,58551.0,58551.0,58551.0,58551.0
SPLUS-n01s28,187.47,0.0,58549.0,58549.0,58549.0,58549.0,58549.0,58549.0,58549.0,58549.0,58549.0,58549.0,58549.0,58549.0
SPLUS-n01s37,199.7,0.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0
SPLUS-n01s38,201.06,0.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0
SPLUS-n02n01,150.79,1.36,58568.0,58568.0,58568.0,58568.0,58568.0,58568.0,58568.0,58568.0,58568.0,58568.0,58568.0,58568.0
SPLUS-n02n18,173.89,1.36,58570.0,58570.0,58570.0,58570.0,58570.0,58570.0,58570.0,58570.0,58570.0,58570.0,58570.0,58570.0
SPLUS-n02n19,175.25,1.36,58579.0,58579.0,58579.0,58579.0,58579.0,58579.0,58579.0,58579.0,58579.0,58579.0,58579.0,58579.0
SPLUS-n02n20,176.6,1.36,58582.0,58582.0,58582.0,58582.0,58582.0,58582.0,58582.0,58582.0,58582.0,58582.0,58582.0,58582.0
SPLUS-n02n21,177.96,1.36,58578.0,58578.0,58578.0,58578.0,58578.0,58578.0,58578.0,58578.0,58578.0,58578.0,58578.0,58578.0
SPLUS-n02n22,179.32,1.36,58581.0,58581.0,58581.0,58581.0,58581.0,58581.0,58581.0,58581.0,58581.0,58581.0,58581.0,58581.0
SPLUS-n02n23,180.68,1.36,58580.0,58580.0,58580.0,58580.0,58580.0,58580.0,58580.0,58580.0,58580.0,58580.0,58580.0,58580.0
SPLUS-n02n24,182.04,1.36,58579.0,58579.0,58579.0,58579.0,58579.0,58579.0,58579.0,58579.0,58579.0,58579.0,58579.0,58579.0
SPLUS-n02n25,183.4,1.36,58570.0,58570.0,58570.0,58570.0,58570.0,58570.0,58570.0,58570.0,58570.0,58570.0,58570.0,58570.0
SPLUS-n02n26,184.75,1.36,58556.0,58556.0,58556.0,58556.0,58556.0,58556.0,58556.0,58556.0,58556.0,58556.0,58556.0,58556.0
SPLUS-n02n27,186.11,1.36,58557.0,58557.0,58557.0,58557.0,58557.0,58557.0,58557.0,58557.0,58557.0,58557.0,58557.0,58557.0
SPLUS-n02n28,187.47,1.36,58554.0,58554.0,58554.0,58554.0,58554.0,58554.0,58554.0,58554.0,58554.0,58554.0,58554.0,58554.0
SPLUS-n02n44,209.21,1.36,58616.0,58616.0,58616.0,58616.0,58616.0,58616.0,58616.0,58616.0,58616.0,58616.0,58616.0,58616.0
SPLUS-n02s18,173.89,-1.36,58554.0,58554.0,58554.0,58554.0,58554.0,58554.0,58554.0,58554.0,58554.0,58554.0,58554.0,58554.0
SPLUS-n02s19,175.25,-1.36,58556.0,58556.0,58556.0,58556.0,58556.0,58556.0,58556.0,58556.0,58556.0,58556.0,58556.0,58556.0
SPLUS-n02s20,176.6,-1.36,58568.0,58568.0,58568.0,58568.0,58568.0,58568.0,58568.0,58568.0,58568.0,58568.0,58568.0,58568.0
SPLUS-n02s21,177.96,-1.36,58575.0,58575.0,58575.0,58575.0,58575.0,58575.0,58575.0,58575.0,58575.0,58575.0,58575.0,58575.0
SPLUS-n02s22,179.32,-1.36,58581.0,58581.0,58581.0,58581.0,58581.0,58581.0,58581.0,58581.0,58581.0,58581.0,58581.0,58581.0
SPLUS-n02s23,180.68,-1.36,58580.0,58580.0,58580.0,58580.0,58580.0,58580.0,58580.0,58580.0,58580.0,58580.0,58580.0,58580.0
SPLUS-n02s24,182.04,-1.36,58578.0,58578.0,58578.0,58578.0,58578.0,58578.0,58578.0,58578.0,58578.0,58578.0,58578.0,58578.0
SPLUS-n02s25,183.4,-1.36,58570.0,58570.0,58570.0,58570.0,58570.0,58570.0,58570.0,58570.0,58570.0,58570.0,58570.0,58570.0
SPLUS-n02s26,184.75,-1.36,58550.0,58550.0,58550.0,58550.0,58550.0,58550.0,58550.0,58550.0,58550.0,58550.0,58550.0,58550.0
SPLUS-n02s27,186.11,-1.36,58548.0,58548.0,58548.0,58548.0,58548.0,58548.0,58548.0,58548.0,58548.0,58548.0,58548.0,58548.0
SPLUS-n02s28,187.47,-1.36,58556.0,58556.0,58556.0,58556.0,58556.0,58556.0,58556.0,58556.0,58556.0,58556.0,58556.0,58556.0
SPLUS-n02s37,199.7,-1.36,58584.0,58584.0,58584.0,58584.0,58584.0,58584.0,58584.0,58584.0,58584.0,58584.0,58584.0,58584.0
SPLUS-n02s38,201.06,-1.36,58584.0,58584.0,58584.0,58584.0,58584.0,58584.0,58584.0,58584.0,58584.0,58584.0,58584.0,58584.0
SPLUS-n02s44,209.21,-1.36,58660.0,58660.0,58660.0,58660.0,58660.0,58660.0,58660.0,58660.0,58660.0,58660.0,58660.0,58660.0
SPLUS-n03n01,150.79,2.72,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0
SPLUS-n03s18,173.89,-2.72,58555.0,58555.0,58555.0,58555.0,58555.0,58555.0,58555.0,58555.0,58555.0,58555.0,58555.0,58555.0
SPLUS-n03s19,175.25,-2.72,58553.0,58553.0,58553.0,58553.0,58553.0,58553.0,58553.0,58553.0,58553.0,58553.0,58553.0,58553.0
SPLUS-n03s20,176.6,-2.72,58551.0,58551.0,58551.0,58551.0,58551.0,58551.0,58551.0,58551.0,58551.0,58551.0,58551.0,58551.0
SPLUS-n03s21,177.96,-2.72,58549.0,58549.0,58549.0,58549.0,58549.0,58549.0,58549.0,58549.0,58549.0,58549.0,58549.0,58549.0
SPLUS-n03s22,179.32,-2.72,58574.0,58574.0,58574.0,58574.0,58574.0,58574.0,58574.0,58574.0,58574.0,58574.0,58574.0,58574.0
SPLUS-n03s23,180.68,-2.72,58550.0,58550.0,58550.0,58550.0,58550.0,58550.0,58550.0,58550.0,58550.0,58550.0,58550.0,58550.0
SPLUS-n03s24,182.04,-2.72,58555.0,58555.0,58555.0,58555.0,58555.0,58555.0,58555.0,58555.0,58555.0,58555.0,58555.0,58555.0
SPLUS-n03s25,183.4,-2.72,58548.0,58548.0,58548.0,58548.0,58548.0,58548.0,58548.0,58548.0,58548.0,58548.0,58548.0,58548.0
SPLUS-n03s26,184.75,-2.72,58547.0,58547.0,58547.0,58547.0,58547.0,58547.0,58547.0,58547.0,58547.0,58547.0,58547.0,58547.0
SPLUS-n03s27,186.11,-2.72,58557.0,58557.0,58557.0,58557.0,58557.0,58557.0,58557.0,58557.0,58557.0,58557.0,58557.0,58557.0
SPLUS-n03s28,187.47,-2.72,58546.0,58546.0,58546.0,58546.0,58546.0,58546.0,58546.0,58546.0,58546.0,58546.0,58546.0,58546.0
SPLUS-n03s43,207.85,-2.72,58616.0,58616.0,58616.0,58616.0,58616.0,58616.0,58616.0,58616.0,58616.0,58616.0,58616.0,58616.0
SPLUS-n03s44,209.21,-2.72,58608.0,58608.0,58608.0,58608.0,58608.0,58608.0,58608.0,58608.0,58608.0,58608.0,58608.0,58608.0
SPLUS-n04n01,150.79,4.07,58569.0,58569.0,58569.0,58569.0,58569.0,58569.0,58569.0,58569.0,58569.0,58569.0,58569.0,58569.0
SPLUS-n04s01,150.79,-4.07,59228.0,59228.0,59228.0,59228.0,59228.0,59228.0,59228.0,59228.0,59228.0,59228.0,59228.0,59228.0
SPLUS-n04s02,152.15,-4.07,59229.0,59229.0,59229.0,59229.0,59229.0,59229.0,59229.0,59229.0,59229.0,59229.0,59229.0,59229.0
SPLUS-n04s41,205.13,-4.07,58667.0,58667.0,58667.0,58667.0,58667.0,58667.0,58667.0,58667.0,58667.0,58667.0,58667.0,58667.0
SPLUS-n04s42,206.49,-4.07,58657.0,58657.0,58657.0,58657.0,58657.0,58657.0,58657.0,58657.0,58657.0,58657.0,58657.0,58657.0
SPLUS-n04s43,207.85,-4.07,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0
SPLUS-n04s44,209.21,-4.07,58604.0,58604.0,58604.0,58604.0,58604.0,58604.0,58604.0,58604.0,58604.0,58604.0,58604.0,58604.0
SPLUS-n05n50,216.82,5.43,58670.0,58670.0,58670.0,58670.0,58670.0,58670.0,58670.0,58670.0,58670.0,58670.0,58670.0,58670.0
SPLUS-n05n53,220.91,5.43,58695.0,58695.0,58695.0,58695.0,58695.0,58695.0,58695.0,58695.0,58695.0,58695.0,58695.0,58695.0
SPLUS-n05n54,222.27,5.43,58694.0,58694.0,58694.0,58694.0,58694.0,58694.0,58694.0,58694.0,58694.0,58694.0,58694.0,58694.0
SPLUS-n05n55,223.64,5.43,58698.0,58698.0,58698.0,58698.0,58698.0,58698.0,58698.0,58698.0,58698.0,58698.0,58698.0,58698.0
SPLUS-n05s01,150.0,-5.43,58549.0,58549.0,58549.0,58549.0,58549.0,58549.0,58549.0,58549.0,58549.0,58549.0,58549.0,58549.0
SPLUS-n05s02,151.36,-5.43,58556.0,58556.0,58556.0,58556.0,58556.0,58556.0,58556.0,58556.0,58556.0,58556.0,58556.0,58556.0
SPLUS-n05s03,152.73,-5.43,58550.0,58550.0,58550.0,58550.0,58550.0,58550.0,58550.0,58550.0,58550.0,58550.0,58550.0,58550.0
SPLUS-n05s43,207.27,-5.43,58605.0,58605.0,58605.0,58605.0,58605.0,58605.0,58605.0,58605.0,58605.0,58605.0,58605.0,58605.0
SPLUS-n05s44,208.64,-5.43,58601.0,58601.0,58601.0,58601.0,58601.0,58601.0,58601.0,58601.0,58601.0,58601.0,58601.0,58601.0
SPLUS-n05s45,210.0,-5.43,58312.0,58312.0,58312.0,58312.0,58312.0,58312.0,58312.0,58312.0,58312.0,58312.0,58312.0,58312.0
SPLUS-n06s01,150.0,-6.78,58550.0,58550.0,58550.0,58550.0,58550.0,58550.0,58550.0,58550.0,58550.0,58550.0,58550.0,58550.0
SPLUS-n06s02,151.36,-6.78,58553.0,58553.0,58553.0,58553.0,58553.0,58553.0,58553.0,58553.0,58553.0,58553.0,58553.0,58553.0
SPLUS-n06s03,152.73,-6.78,58547.0,58547.0,58547.0,58547.0,58547.0,58547.0,58547.0,58547.0,58547.0,58547.0,58547.0,58547.0
SPLUS-n06s40,203.18,-6.78,58666.0,58666.0,58666.0,58666.0,58666.0,58666.0,58666.0,58666.0,58666.0,58666.0,58666.0,58666.0
SPLUS-n06s41,204.55,-6.78,58640.0,58640.0,58640.0,58640.0,58640.0,58640.0,58640.0,58640.0,58640.0,58640.0,58640.0,58640.0
SPLUS-n06s42,205.91,-6.78,58606.0,58606.0,58606.0,58606.0,58606.0,58606.0,58606.0,58606.0,58606.0,58606.0,58606.0,58606.0
SPLUS-n06s43,207.27,-6.78,58602.0,58602.0,58602.0,58602.0,58602.0,58602.0,58602.0,58602.0,58602.0,58602.0,58602.0,58602.0
SPLUS-n06s44,208.64,-6.78,58600.0,58600.0,58600.0,58600.0,58600.0,58600.0,58600.0,58600.0,58600.0,58600.0,58600.0,58600.0
SPLUS-n06s45,210.0,-6.78,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0
SPLUS-n07s01,150.57,-8.14,58549.0,58549.0,58549.0,58549.0,58549.0,58549.0,58549.0,58549.0,58549.0,58549.0,58549.0,58549.0
SPLUS-n07s02,151.94,-8.14,58555.0,58555.0,58555.0,58555.0,58555.0,58555.0,58555.0,58555.0,58555.0,58555.0,58555.0,58555.0
SPLUS-n07s03,153.31,-8.14,58548.0,58548.0,58548.0,58548.0,58548.0,58548.0,58548.0,58548.0,58548.0,58548.0,58548.0,58548.0
SPLUS-n07s04,154.68,-8.14,59224.0,59224.0,59224.0,59224.0,59224.0,59224.0,59224.0,59224.0,59224.0,59224.0,59224.0,59224.0
