Field,u_3,J0378_3,J0395_3,J0410_3,J0430_3,g_3,J0515_3,r_3,J0660_3,i_3,J0861_3,z_3,u_5,J0378_5,J0395_5,J0410_5,J0430_5,g_5,J0515_5,r_5,J0660_5,i_5,J0861_5,z_5,u_10,J0378_10,J0395_10,J0410_10,J0430_10,g_10,J0515_10,r_10,J0660_10,i_10,J0861_10,z_10,u_50,J0378_50,J0395_50,J0410_50,J0430_50,g_50,J0515_50,r_50,J0660_50,i_50,J0861_50,z_50
HYDRA-0021,20.081199094223454,20.264785919735605,19.684613748469346,19.63512411990319,19.53778273804214,21.19713412853019,19.873813565455052,21.2150545672776,20.97750902321129,20.824400338792035,19.98819706053255,20.175513020622027,20.127836172076336,19.667162665983454,19.252403261283654,19.451058200027028,19.50028094728859,21.101141319067636,19.837413586009085,21.13021469409592,20.89306554617969,20.741297056325887,19.970755094987577,20.05161124683871,19.53525552110556,19.139457559441542,18.723026871629298,18.79915069350699,18.9109616414838,20.524692257791024,19.220708719941918,20.463920632380024,20.219575151863154,19.929813653457305,19.186266262737448,19.082503089579177,16.49731560639711,16.33443022069305,15.805417005250906,16.089885403503686,16.328897663269565,16.997599143018338,16.12581939895123,16.62476276356378,16.570655398612505,15.763763389443206,15.556365997370733,15.539891412424389
HYDRA-0022,20.197882913345424,19.913245865494744,19.71191525094691,19.495653025323794,19.868520747469496,21.167568312193236,20.219991559243685,20.844901853157936,20.633903256389612,20.767529688896182,19.75625186355523,19.788163713987622,20.239539683769003,19.9191550884009,19.687791612925032,19.557315243440144,19.888436600713703,21.131628701467278,20.22744775780122,20.8672631004177,20.64396556538471,20.74208734061168,19.72856300735213,19.789310896710752,20.041892048201326,19.784198833349947,19.355041709209686,19.391565267264987,19.342550042051936,20.6468575558239,19.75059116242295,20.305976056452522,20.200436643259962,19.985833068494514,19.060475335063913,19.07568702027587,16.37083450175073,16.274749009902287,16.032217670032928,15.88886935235175,16.310383810350533,17.208397041433646,16.272054436927295,16.765615698006904,17.205759091710572,16.329673696263786,15.707837433525363,15.702990410994481
HYDRA-0023,20.022361408905873,19.615007794486473,19.269903636572806,19.24151398350129,19.28257707788042,20.4828174921141,19.407989782270995,20.701043727928926,20.70859944739209,20.43393157496778,19.90025785781213,20.04279125262155,19.991262797481568,19.639567750306117,19.271028216122254,19.243654055087838,19.264418007697273,20.507786667207103,19.424978112017424,20.705687918799832,20.66339069125835,20.38643662694898,19.88607530847497,19.966919860860564,19.752390981530045,19.338853457674077,18.96542256145534,18.929029618865126,19.01169103697774,19.886951872694006,19.145670511575346,20.03449734929797,20.000634819340075,19.703604212524446,19.061791379909977,19.024555632825162,17.09098571807531,16.419244523715218,16.095677534759133,15.975864231934501,16.35154002315473,17.024833216098422,16.37259773654006,16.568208951431117,16.492574419575355,16.41488757603089,15.967722198834966,15.88893534191087
HYDRA-0024,20.281495317553617,19.687118394395476,19.412714347250358,19.46021472398263,19.774514483543225,20.797794678474702,20.03137008415254,20.720518266934526,20.576216266091436,20.595258247652136,19.721135822849774,19.840237478675423,20.248959807446518,19.680928634427538,19.414967231172092,19.46553500320468,19.72501532017228,20.771029665384013,20.021233531332037,20.688278719918806,20.60318260594201,20.539834541140696,19.6739993508255,19.72252467901835,20.070711609994838,19.37043875925834,18.916300822689742,19.16170141846751,19.220910450252138,20.25038076531654,19.552193841775065,20.132611439192885,19.991466037979674,19.52925106912045,18.58877029374865,18.615556957628,17.020032337189395,16.042625001297516,15.965007063594511,16.051602953374115,16.126833847120597,17.254022699523794,16.18087186796685,16.807667425147375,16.558135471663796,16.191564966430814,14.611855058538252,15.208604452360532
HYDRA-0025,20.576579962872316,19.70641125734783,19.247945614796528,19.317943009516554,19.33039775688772,20.667719433815634,19.762387226453654,20.801778261910584,20.834300966800683,20.488914131593077,19.851224097662453,19.750002175894515,20.619602292112358,19.759169526513457,19.250067944701094,19.319407642142735,19.381753286359345,20.70196121263917,19.744262244045416,20.807507872446322,20.840204487266725,20.459796012224697,19.883462982103715,19.749456589638434,20.264240712293184,19.581550665631383,19.138184340333552,19.19367849059364,19.24931128836782,20.513743643203625,19.540918124262163,20.570233383007587,20.431052940284758,20.18749580095342,19.463769945621827,19.45440741656028,17.690406793971444,17.03346665905278,16.504689173102634,16.596661129631514,16.60628170522219,17.49322137156571,16.620637883514394,17.485330806701207,17.303402817980658,16.857987311279757,16.166341506563228,16.016211038134223
HYDRA-0026,20.1171453231806,19.643412990381485,19.162888188185807,18.830980724430304,19.15487972811064,20.20895084261749,19.396590914904074,20.28877574376758,20.12056389067234,20.315039461086226,19.619652771987624,19.93221367638101,20.178393908027186,19.621153518746713,19.10134411866501,18.826440207542653,19.112562046921877,20.160144197540983,19.365089513457555,20.188056233843866,20.066643585018,20.127863489451943,19.493312994975714,19.741011131343924,19.69091702535883,19.0177723233156,18.421469924102134,18.460639291746148,18.500800476472513,19.282623898380137,18.529741375454183,19.220930203041974,19.152446872602926,19.076861025648412,18.392591013613416,18.53262061094521,16.43948191947493,15.904493810430175,15.324924624271656,15.212743409457655,15.03942516010708,16.050815645152408,15.575827891542723,15.755815940016898,15.685894409353821,15.066278753498157,14.842704323017458,14.534129176922663
HYDRA-0027,20.23474837292784,19.620697050039492,18.889779044602214,19.07325080703337,19.013394779684752,20.413488366724522,19.514204895018263,20.696010546171628,20.349124580928734,20.14953603620609,18.93775474690751,19.2588939977342,20.25055852092729,19.658226224559492,18.889600261354445,19.099673740283457,19.052014848362866,20.417112708493484,19.515450909716503,20.696295715676126,20.322776889038472,20.177977024282058,18.927993561391546,19.271223293470786,20.08877374438785,19.464189385097022,18.795545485932585,18.95213700552991,18.92925982921767,20.123253172836158,19.3411542068957,20.3479793527869,20.164921587082908,19.853245796329567,18.82190038367243,18.914311141447403,17.624198256629803,17.04576462444868,16.52295839090976,16.583355561171622,16.66499487083956,17.735773616741575,16.855368536530975,17.476916593794584,17.566480932407373,16.922716374309257,16.318351928312968,16.139541336774347
HYDRA-0028,19.9700092873195,19.45259345180633,19.382780979493774,19.352109208835472,19.358686717888705,20.677499481905137,19.74770999032457,20.697587422269393,20.377958526903384,20.402444321598786,19.21617221303194,19.625997534407247,19.950888094334005,19.44993437684081,19.357692680347515,19.356844210701695,19.413573038873242,20.629771742474965,19.731374539684285,20.68159611212547,20.372664401209487,20.375025193677377,19.2484130988901,19.566097161392413,19.604370169214143,19.205377559731133,18.988274884843896,19.031009101111046,19.026298890693475,20.022264521522516,19.379092872540603,19.933855661300342,19.883334210951176,19.52863009017886,18.717058562570514,18.679885620744297,17.157797496186,16.758874656425206,16.258198273512036,16.457675188788752,16.524379744053178,17.33065601977193,16.466813843912,16.792264320415846,17.147376695505482,16.282462781775337,15.725054795795188,15.605002054921144
HYDRA-0029,20.40461812800121,19.799945290463224,19.487353005143667,19.54653937926924,19.71575417462895,20.945092973086425,19.885595147432902,20.65603329730865,20.61902878018484,20.27255788142427,19.73129655614829,19.582608489215055,20.408091885856308,19.856689736759847,19.491731688304956,19.576870335241914,19.71285029884635,20.967619739747892,19.86393685000902,20.662277375205694,20.650239560203257,20.252877355806454,19.695198781439682,19.558235686492132,19.964795129863987,19.4952419649019,19.069261869993277,19.2438453525817,19.33918933700498,20.58384241369854,19.55285274418729,20.18287831855013,20.11524098671734,19.557111739723712,18.911521033881442,18.82422760542575,17.271519379290563,16.941034460219615,16.466205785345615,16.346848382475393,16.45927218632699,17.43178348353871,16.42979343432533,16.810317971848164,16.68029955180711,16.19214825642811,15.790779671327769,15.849286590168504
HYDRA-0030,20.72003188095379,20.327087579816478,20.09538564505383,20.165201407783805,20.28692652559495,21.348551635511548,20.678196614683976,21.392854591727847,21.295043691753456,21.36403427795163,20.467257261203457,20.750706205046498,20.6833422138756,20.264195465213,19.985213985937932,20.092030392312317,20.17801641374153,21.28765171875454,20.61940605671732,21.339225323070508,21.284561700149588,21.28434553878627,20.414160101196103,20.671377402783136,20.41118149481946,19.930547157008768,19.586423639298832,19.831635972663516,19.88055647122573,21.008020106468656,20.223501158150743,20.984190949475163,20.77948191489325,20.683133330164846,19.77517717898591,19.793927658734447,18.08309682687335,17.66526105762785,17.287338916580673,17.37639802690252,17.41889784162221,18.553570652592793,17.654445169490455,17.842575196079203,17.906235232446342,17.27943448546269,16.617112126921697,16.26252644327776
HYDRA-0031,19.6861985494659,19.774424480935746,19.539668066004282,19.631538805459602,19.698787006408736,20.92437075790358,19.510763798979134,20.762524495606186,20.59084695572894,20.462034624977697,19.554346611908493,19.618801912700526,19.708031931735498,19.6990424726089,19.245583486231354,19.55838482451572,19.648746259491872,20.9135618261026,19.524910423345354,20.735143203213262,20.581912548807107,20.435441121158114,19.510108407688453,19.559224825270586,19.371068793508428,19.056232273373173,18.702509385627906,18.90858083571381,19.077073434510616,20.363484618306487,19.105189474758745,20.151852529568508,19.937606745745878,19.719966849716613,18.661839753646497,18.743604796415482,16.921659378607842,16.541601848418026,16.16035027512323,16.30382874410741,16.421851201765584,17.708878039994367,16.070738128118542,17.39947943166598,17.15444350692342,16.769501303648696,15.65708189530043,15.85242814161721
HYDRA-0032,20.71903024883866,20.26846321003012,19.927136612380018,19.927700846762875,20.295302328196613,21.341483955483387,20.51157651972333,21.21543493626486,21.3149100518645,21.089447348776197,20.41152138176719,20.48691382742627,20.53417523670469,20.02413645795049,19.678129640225066,19.736249783021698,20.16591632857909,21.33826192784816,20.46445478577416,21.205875925521,21.312415848635304,21.095042179654932,20.38413830116731,20.445462430410856,20.264007852918617,19.833743476104495,19.464682241050458,19.44995369836469,19.92384012723739,21.042741790434917,20.088092395058013,20.793299330128377,20.892719088592294,20.508343377099607,19.810123102484216,19.752499766622506,18.105040199399777,17.406067640245578,17.132131417983082,17.1534349405365,17.51589077625202,18.47568605284915,17.634994162507045,18.122998371655864,18.330910901642,17.609626527775717,16.894435170540667,16.736467151346076
HYDRA-0033,20.945654659950605,20.38748669431891,20.157222230489936,20.253150045472466,20.31795331071719,21.29793881599871,20.63385545523786,21.345278194490056,21.057681079843015,21.02487594084048,20.254378395333536,20.389911480089154,20.854732151398174,20.270140046987784,20.023108630840333,20.08738607734981,20.213220395449998,21.297558181586886,20.600746642354174,21.27987547415575,21.095927573782532,20.967820192113127,20.207059022207325,20.342126913332507,20.39540537211137,19.93988614885327,19.56278048239284,19.72648918120233,19.822684657702407,20.89567890649345,20.078502048498716,20.766758834364452,20.624296596988675,20.451937368575095,19.557307643571903,19.64766171779506,17.806088852874517,17.31426608278666,17.093169091078845,17.020564062753724,17.233216956940215,18.28350212911777,17.25615069664799,17.860888037080592,17.259602236070943,17.1558915696398,16.36599035936319,16.35216562187813
